llm,agent_config,total_quests,successful_quests,failed_quests,first_try_successes,quest_success_rate_pct,first_try_success_rate_pct,total_attempts_all_quests,total_attempts_successful_quests,total_completion_time_sum,total_completion_time_successful_sum,total_tokens_sum,total_tokens_successful_sum,avg_attempts_per_quest,avg_completion_time_per_quest,avg_tokens_per_quest,avg_sample_efficiency_per_quest,avg_tokens_per_attempt,avg_time_per_attempt,median_attempts,median_completion_time,median_tokens,std_attempts,std_completion_time,std_tokens
GPT-4o,AGEL-Comp-Full-System,30,30,0,20,100.0,66.67,53,53,1092.0,1092.0,7558,7558,1.77,36.4,251.93,25.03,142.6,20.6,1.0,21.95,140.0,1.17,33.31,195.18
GPT-4o,AGEL-Comp-w/o-NTP,30,30,0,7,100.0,23.33,116,116,3140.2,3140.2,18140,18140,3.87,104.67,604.67,62.1,156.38,27.07,3.5,62.35,527.0,2.76,92.58,478.71
GPT-4o,AGEL-Comp-w/o-ILP,30,26,4,3,86.67,10.0,218,154,10212.1,6879.2,39672,23639,5.92,264.58,909.19,120.88,153.5,44.67,6.0,211.2,763.0,3.35,191.25,570.53
GPT-4o,MLLM-Agent-Baseline,30,26,4,2,86.67,6.67,218,154,10436.3,7203.1,42351,23906,5.92,277.04,919.46,118.62,155.23,46.77,5.5,252.85,771.5,3.02,186.59,584.18
Gemini-2.5-Pro,AGEL-Comp-Full-System,30,30,0,20,100.0,66.67,52,52,841.7,841.7,8231,8231,1.73,28.06,274.37,23.27,158.29,16.19,1.0,14.7,161.5,1.17,28.15,227.65
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,30,28,2,6,93.33,20.0,145,113,3250.8,2547.9,29718,19698,4.04,91.0,703.5,59.5,174.32,22.55,3.5,57.05,526.5,2.65,83.84,633.58
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,30,25,5,3,83.33,10.0,221,141,8073.9,3963.1,47329,24598,5.64,158.52,983.92,89.88,174.45,28.11,6.0,115.7,774.0,3.4,104.78,721.52
Gemini-2.5-Pro,MLLM-Agent-Baseline,30,25,5,1,83.33,3.33,230,150,9060.5,5564.4,48721,27518,6.0,222.58,1100.72,113.92,183.45,37.1,5.0,165.4,833.0,3.03,192.7,698.65
DeepSeek-VL-7B,AGEL-Comp-Full-System,30,30,0,17,100.0,56.67,62,62,2230.7,2230.7,8105,8105,2.07,74.36,270.17,40.43,130.73,35.98,1.0,51.25,232.0,1.36,67.09,205.05
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,30,26,4,7,86.67,23.33,177,113,7403.3,4381.0,28127,14669,4.35,168.5,564.19,79.73,129.81,38.77,4.0,136.65,456.0,2.87,143.0,402.98
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,30,21,9,2,70.0,6.67,315,171,17875.4,8175.4,51352,22456,8.14,389.3,1069.33,150.05,131.32,47.81,9.0,349.4,1086.0,3.29,212.23,464.56
DeepSeek-VL-7B,MLLM-Agent-Baseline,30,20,10,1,66.67,3.33,333,173,22194.3,9377.6,63699,24370,8.65,468.88,1218.5,160.55,140.87,54.21,9.0,454.8,1196.0,3.12,256.87,471.35
LLaVA-1.6,AGEL-Comp-Full-System,30,30,0,15,100.0,50.0,65,65,2904.3,2904.3,6991,6991,2.17,96.81,233.03,41.7,107.55,44.68,1.5,56.45,188.5,1.37,77.1,179.58
LLaVA-1.6,AGEL-Comp-w/o-NTP,30,26,4,7,86.67,23.33,180,116,11343.9,6739.5,28428,14683,4.46,259.21,564.73,86.5,126.58,58.1,4.5,168.6,524.5,3.25,211.91,458.34
LLaVA-1.6,AGEL-Comp-w/o-ILP,30,20,10,2,66.67,6.67,323,163,26283.7,12855.4,49924,19062,8.15,642.77,953.1,170.7,116.94,78.87,8.5,629.6,925.5,3.03,314.71,334.56
LLaVA-1.6,MLLM-Agent-Baseline,30,19,11,0,63.33,0.0,326,150,30861.5,12947.6,53790,18021,7.89,681.45,948.47,174.32,120.14,86.32,7.0,611.1,920.0,2.81,302.68,379.74
